 Candidate State, Age Range, Sex, Study area, Study Title, Years Experience, Sector, event_type__val,Expected Ral, Residence State, Residence Italian Region, European Residence
First contact,early 30s,Female,computer engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Campania,Yes
First contact,late 20s,Male,computer engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Campania,Yes
In selection,early 30s,Male,computer engineering,Five-year degree,more than 10,Others,BM interview,+ 50 K,ITALY,Piedmont,Yes
First contact,more than 45 years,Male,Mechanical engineering,Five-year degree,more than 10,Automotive,Contact note,Not Given,ITALY,Campania,Yes
First contact,late 20s,Female,Safety Engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Liguria,Yes
First contact,less than 20 years,Male,Automation/Mechatronics Engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Liguria,Yes
In selection,more than 45 years,Male,Informatics,High school graduation,more than 10,Others,Contact note,Not Given,ITALY,Lazio,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Others,BM interview,Not Given,ITALY,Tuscany,Yes
First contact,late 20s,Male,Biomedical Engineering,Five-year degree,between 1 and 3,Others,Not Specified,Not Given,ITALY,Puglia,Yes
Hired,early 30s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Aeronautics,Contact note,Not Given,ITALY,Marche,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 3 and 5,Oil and Gas,BM interview,Not available,ITALY,Lombardy,Yes
In selection,more than 45 years,Male,electronic Engineering,Five-year degree,more than 10,Others,Candidate notification,Not available,ITALY,Not Italian Region,Yes
First contact,late 20s,Male,Electrical Engineering,Five-year degree,between 3 and 5,Others,Not Specified,Not Given,MOROCCO,Not Italian Region,No
In selection,early 30s,Male,Telecommunications Engineering,Five-year degree,between 3 and 5,Others,Technical interview,Not Given,ITALY,Lombardy,Yes
First contact,early 30s,Male,Automotive Engineering,Five-year degree,between 7 and 10,Others,Not Specified,Not Given,CZECH REPUBLIC,Not Italian Region,Yes
First contact,late 20s,Female,Chemist - Pharmaceutical,Five-year degree,none,Life sciences,Technical interview,Not Given,ITALY,Campania,Yes
First contact,late 20s,Male,Energy and Nuclear Engineering,Three-year degree,none,Others,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
First contact,early 30s,Male,Chemist - Pharmaceutical,Five-year degree,between 5 and 7,Life sciences,Not Specified,Not Given,ITALY,Lombardy,Yes
Hired,late 20s,Male,Mechanical engineering,Three-year degree,between 7 and 10,Automotive,BM interview,Not Given,ITALY,Campania,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Aeronautics,Not Specified,Not Given,ITALY,Campania,Yes
First contact,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Veneto,Yes
First contact,more than 45 years,Male,Other scientific subjects,High school graduation,more than 10,Automotive,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,less than 20 years,Male,Other,Five-year degree,more than 10,Others,Not Specified,Not Given,ITALY,Trentino Alto Adige,Yes
In selection,more than 45 years,Male,electronic Engineering,Five-year degree,more than 10,Others,BM interview,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 0 and 1,Aeronautics,Commercial note,Not Given,ITALY,Campania,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Aeronautics,BM interview,Not Given,ITALY,Emilia Romagna,Yes
First contact,late 30s,Male,Automation/Mechatronics Engineering,Five-year degree,none,Automotive,Contact note,Not Given,ITALY,Campania,Yes
First contact,early 20s,Male,Management Engineering,Five-year degree,between 0 and 1,Others,Not Specified,Not Given,ITALY,Sicily,Yes
First contact,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Campania,Yes
Economic proposal,more than 45 years,Male,Electrical Engineering,Five-year degree,more than 10,Oil and Gas,Sending SC to customer,40-42 K,OMAN,Not Italian Region,No
First contact,less than 20 years,Male,computer engineering,Three-year degree,none,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,early 20s,Male,computer engineering,Five-year degree,between 3 and 5,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,none,Others,Sending SC to customer,30-32 K,ITALY,Campania,Yes
In selection,late 20s,Male,Energy and Nuclear Engineering,Five-year degree,between 1 and 3,Others,BM interview,Not Given,ITALY,Lazio,Yes
First contact,early 30s,Male,Automotive Engineering,Five-year degree,none,Others,Not Specified,Not Given,GREAT BRITAIN-NORTHERN IRELAND,Not Italian Region,Yes
In selection,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Aeronautics,HR interview,22-24 K,ITALY,Sicily,Yes
In selection,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,none,Others,BM interview,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Male,Mechanical engineering,Five-year degree,none,Automotive,Contact note,Not Given,ITALY,Campania,Yes
In selection,early 40s,Male,Other,High school graduation,more than 10,Telecom,Inadequate CV,30-32 K,ITALY,Lazio,Yes
First contact,late 20s,Male,Economic - Statistics,Five-year degree,between 0 and 1,Others,Not Specified,Not Given,MALTA,Not Italian Region,Yes
In selection,late 30s,Male,electronic Engineering,Five-year degree,between 5 and 7,Life sciences,Contact note,38-40 K,ITALY,Puglia,Yes
In selection,late 30s,Male,Telecommunications Engineering,Five-year degree,more than 10,Machining - Heavy Industry,BM interview,Not Given,ITALY,Puglia,Yes
First contact,less than 20 years,Male,Telecommunications Engineering,Five-year degree,between 5 and 7,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,early 30s,Male,electronic Engineering,Five-year degree,between 3 and 5,Automotive,Not Specified,Not Given,AUSTRIA,Not Italian Region,Yes
First contact,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 1 and 3,Others,Contact note,Not Given,ITALY,Lombardy,Yes
In selection,late 30s,Male,Other scientific subjects,Doctorate,between 5 and 7,Space,BM interview,Not Given,ITALY,Tuscany,Yes
First contact,less than 20 years,Male,Automation/Mechatronics Engineering,Five-year degree,between 5 and 7,Automotive,Not Specified,Not Given,BELGIUM,Not Italian Region,Yes
First contact,late 20s,Male,Automotive Engineering,Five-year degree,between 0 and 1,Automotive,Commercial note,Not Given,ITALY,Liguria,Yes
First contact,late 20s,Male,Naval Engineering,Three-year degree,between 0 and 1,Naval,Not Specified,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,electronic Engineering,Three-year degree,none,Others,HR interview,Not Given,ITALY,Tuscany,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Campania,Yes
First contact,more than 45 years,Male,Mechanical engineering,Three-year degree,more than 10,Telecom,Not Specified,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 0 and 1,Others,HR interview,Not Given,ITALY,Campania,Yes
In selection,early 30s,Male,Management Engineering,Five-year degree,more than 10,Telecom,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,less than 20 years,Male,Mechanical engineering,Three-year degree,between 0 and 1,Automotive,HR interview,Not Given,ITALY,Campania,Yes
In selection,early 30s,Male,Mechanical engineering,Three-year degree,between 3 and 5,Others,HR interview,Not available,ITALY,Liguria,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Aeronautics,Candidate notification,Not Given,ITALY,Campania,Yes
QM,early 20s,Female,Telecommunications Engineering,Three-year degree,between 0 and 1,Others,Technical interview,Not Given,ITALY,Tuscany,Yes
In selection,early 30s,Female,Mechanical engineering,Three-year degree,none,Others,Contact note,Not Given,ITALY,Emilia Romagna,Yes
In selection,early 30s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Automotive,Contact note,Not Given,ITALY,Umbria,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Space,BM interview,Not Given,ITALY,Campania,Yes
In selection,less than 20 years,Female,electronic Engineering,Doctorate,more than 10,Consulting,Candidate notification,Not Given,ITALY,Tuscany,Yes
First contact,late 20s,Male,Naval Engineering,Three-year degree,none,Others,Not Specified,Not Given,ITALY,Abruzzo,Yes
In selection,late 20s,Female,Management Engineering,Five-year degree,between 3 and 5,Others,Candidate notification,38-40 K,ITALY,Lazio,Yes
Hired,early 30s,Female,Legal,Five-year degree,between 3 and 5,Oil and Gas,BM interview,26-28 K,ITALY,Basilicata,Yes
Hired,less than 20 years,Male,chemical engineering,Five-year degree,between 1 and 3,Aeronautics,BM interview,Not Given,ITALY,Lazio,Yes
In selection,late 30s,Male,Psychology,Three-year degree,between 5 and 7,Oil and Gas,Sending SC to customer,24-26 K,ITALY,Basilicata,Yes
In selection,late 20s,Male,Scientific maturity,High school graduation,between 7 and 10,Others,BM interview,Not Given,ITALY,Piedmont,Yes
First contact,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 5 and 7,Others,Not Specified,Not Given,ITALY,Lazio,Yes
First contact,late 30s,Male,Mechanical engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Campania,Yes
In selection,late 20s,Male,Automotive Engineering,Five-year degree,between 3 and 5,Others,BM interview,Not Given,ITALY,Piedmont,Yes
First contact,more than 45 years,Male,Scientific maturity,High school graduation,more than 10,Others,Not Specified,Not Given,ITALY,Campania,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,Candidate notification,Not Given,ITALY,Lombardy,Yes
In selection,less than 20 years,Male,chemical engineering,Three-year degree,none,Others,BM interview,Not Given,ITALY,Emilia Romagna,Yes
In selection,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Space,Technical interview,26-28 K,ITALY,Calabria,Yes
First contact,late 20s,Male,Automation/Mechatronics Engineering,Professional qualification,between 3 and 5,Others,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
First contact,early 20s,Male,electronic Engineering,Five-year degree,none,Others,Candidate notification,Not available,ITALY,Liguria,Yes
First contact,early 30s,Female,Mechanical engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Others,Technical interview,Not Given,ITALY,Campania,Yes
First contact,late 20s,Male,Automotive Engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Abruzzo,Yes
First contact,early 40s,Male,Telecommunications Engineering,Doctorate,more than 10,Others,Candidate notification,Not Given,ITALY,Tuscany,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Oil and Gas,Not Specified,Not Given,ITALY,Sicily,Yes
QM,more than 45 years,Male,Economic - Statistics,master's degree,more than 10,Oil and Gas,Qualification Meeting,32-34 K,ITALY,Lombardy,Yes
First contact,early 20s,Male,Other scientific subjects,High school graduation,none,Others,Research association,20-22 K,ITALY,Puglia,Yes
In selection,early 40s,Male,Economic - Statistics,High school graduation,more than 10,Others,Sending SC to customer,40-42 K,ITALY,Puglia,Yes
First contact,less than 20 years,Female,industrial engineering,Three-year degree,none,Others,Contact note,Not Given,ITALY,Trentino Alto Adige,Yes
First contact,late 20s,Male,Automotive Engineering,Five-year degree,between 1 and 3,Others,Not Specified,Not Given,SPAIN,Not Italian Region,Yes
First contact,early 20s,Female,Electrical Engineering,Three-year degree,between 0 and 1,Automotive,Not Specified,Not Given,GREECE,Not Italian Region,Yes
In selection,early 30s,Female,Other humanities subjects,Five-year degree,between 5 and 7,Others,Sending SC to customer,28-30 K,ITALY,Sicily,Yes
First contact,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Lombardy,Yes
In selection,late 20s,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 0 and 1,Others,BM interview,Not Given,ITALY,Sicily,Yes
Economic proposal,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,master's degree,between 1 and 3,Space,Commercial note,Not Given,ITALY,Emilia Romagna,Yes
In selection,more than 45 years,Male,Civil/Civil and Environmental Engineering,Five-year degree,more than 10,Others,Sending SC to customer,Not Given,ITALY,Friuli Venezia Giulia,Yes
In selection,less than 20 years,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Aeronautics,BM interview,Not Given,ITALY,Campania,Yes
First contact,early 30s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Others,Not Specified,Not Given,ITALY,Campania,Yes
In selection,late 20s,Male,Chemist - Pharmaceutical,High school graduation,between 3 and 5,Others,BM interview,30-32 K,ITALY,Basilicata,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 5 and 7,Others,Contact note,Not Given,ITALY,Sicily,Yes
First contact,late 30s,Male,Mechanical engineering,Five-year degree,between 7 and 10,Energy,Not Specified,Not Given,SPAIN,Not Italian Region,Yes
Economic proposal,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,none,Consulting,Candidate notification,Not Given,ITALY,Tuscany,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 7 and 10,Others,BM interview,Not Given,ITALY,Emilia Romagna,Yes
QM,late 20s,Male,Automation/Mechatronics Engineering,Three-year degree,none,Consulting,BM interview,Not Given,ITALY,Tuscany,Yes
First contact,late 20s,Male,Automotive Engineering,Five-year degree,between 0 and 1,Others,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Aeronautics,Contact note,Not Given,ITALY,Campania,Yes
Vivier,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 1 and 3,Space,Candidate notification,28-30 K,ITALY,Lazio,Yes
In selection,late 20s,Male,Informatics,High school graduation,between 7 and 10,Others,HR interview,Not Given,ITALY,Lazio,Yes
First contact,less than 20 years,Male,Materials Science and Engineering,Five-year degree,between 7 and 10,Others,Contact note,Not Given,ITALY,Emilia Romagna,Yes
In selection,less than 20 years,Male,computer engineering,Five-year degree,between 1 and 3,Railway,Technical interview,Not available,ITALY,Emilia Romagna,Yes
First contact,more than 45 years,Female,Other scientific subjects,master's degree,more than 10,Life sciences,Technical interview,+ 50 K,ITALY,Lombardy,Yes
First contact,early 30s,Male,industrial engineering,Three-year degree,between 0 and 1,Others,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
Hired,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Others,BM interview,Not Given,ITALY,Lombardy,Yes
First contact,late 30s,Male,Accounting,High school graduation,more than 10,Others,Candidate notification,Not Given,ITALY,Lombardy,Yes
In selection,less than 20 years,Female,Automation/Mechatronics Engineering,Five-year degree,between 3 and 5,Automotive,BM interview,Not Given,ITALY,Emilia Romagna,Yes
In selection,late 20s,Male,Automotive Engineering,Five-year degree,between 0 and 1,Automotive,BM interview,Not Given,ITALY,Campania,Yes
First contact,late 20s,Female,Chemist - Pharmaceutical,Five-year degree,between 7 and 10,Life sciences,Technical interview,Not Given,ITALY,Lombardy,Yes
First contact,late 20s,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Automotive,Contact note,20-22 K,ITALY,Sicily,Yes
Hired,early 20s,Male,Other scientific subjects,High school graduation,between 0 and 1,Others,HR interview,Not Given,ITALY,Piedmont,Yes
First contact,more than 45 years,Male,Other scientific subjects,High school graduation,more than 10,Telecom,Not Specified,Not Given,ITALY,Lombardy,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Piedmont,Yes
First contact,less than 20 years,Female,Aeronautical/Aerospace/Astronautics Engineering,Doctorate,none,Others,Contact note,Not Given,ITALY,Not Italian Region,Yes
QM,late 20s,Male,industrial engineering,Five-year degree,none,Telecom,Contact note,Not Given,ITALY,Emilia Romagna,Yes
In selection,less than 20 years,Female,Communication Sciences,Five-year degree,none,Others,BM interview,Not Given,ITALY,Veneto,Yes
In selection,early 30s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Others,Contact note,Not Given,ITALY,Lazio,Yes
First contact,early 30s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Others,Not Specified,Not Given,ITALY,Campania,Yes
Hired,late 20s,Male,Mechanical engineering,Three-year degree,none,Others,Candidate notification,36-38 K,ITALY,Piedmont,Yes
First contact,less than 20 years,Male,electronic Engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Sicily,Yes
First contact,late 20s,Male,Other scientific subjects,High school graduation,between 5 and 7,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Automotive,Not Specified,Not Given,ITALY,Lazio,Yes
First contact,early 30s,Male,Mechanical engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,late 30s,Male,Other scientific subjects,High school graduation,more than 10,Others,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 5 and 7,Automotive,Contact note,Not Given,ITALY,Marche,Yes
First contact,early 30s,Male,Automotive Engineering,Five-year degree,between 3 and 5,Automotive,Not Specified,Not Given,SWEDEN,Not Italian Region,Yes
In selection,less than 20 years,Female,Other humanities subjects,master's degree,between 0 and 1,Others,HR interview,Not Given,ITALY,Veneto,Yes
In selection,late 20s,Female,Psychology,Five-year degree,between 1 and 3,Others,HR interview,Not Given,ITALY,Veneto,Yes
First contact,late 20s,Male,Automotive Engineering,Three-year degree,between 5 and 7,Others,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
Hired,less than 20 years,Male,Other scientific subjects,Professional qualification,between 7 and 10,Others,BM interview,Not Given,ITALY,Lombardy,Yes
First contact,early 30s,Male,Economic - Statistics,master's degree,between 7 and 10,Others,Contact note,48-50 K,ITALY,Lombardy,Yes
First contact,late 20s,Male,Other scientific subjects,Five-year degree,between 1 and 3,Others,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
First contact,late 20s,Female,Psychology,Five-year degree,between 1 and 3,Others,Contact note,Not Given,ITALY,Veneto,Yes
First contact,early 30s,Male,Electrical Engineering,Five-year degree,between 5 and 7,Others,Not Specified,Not Given,ITALY,Lazio,Yes
First contact,late 20s,Female,Telecommunications Engineering,Five-year degree,between 1 and 3,Others,Not Specified,Not Given,LEBANON,Not Italian Region,No
In selection,late 20s,Male,Other scientific subjects,Three-year degree,none,Others,BM interview,Not Given,ITALY,Puglia,Yes
Hired,late 30s,Female,Other,Five-year degree,more than 10,Others,BM interview,26-28 K,ITALY,Lombardy,Yes
In selection,early 30s,Male,electronic Engineering,Three-year degree,between 7 and 10,Consulting,BM interview,Not Given,ITALY,Lazio,Yes
First contact,early 30s,Male,Mechanical engineering,Professional qualification,between 3 and 5,Defence,Not Specified,Not Given,ITALY,Lazio,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 0 and 1,Automotive,HR interview,Not Given,ITALY,Emilia Romagna,Yes
First contact,late 30s,Male,Other scientific subjects,High school graduation,more than 10,Oil and Gas,Commercial note,Not Given,ITALY,Sicily,Yes
Hired,early 40s,Male,Surveyor,High school graduation,more than 10,Oil and Gas,BM interview,32-34 K,ITALY,Sicily,Yes
First contact,less than 20 years,Male,Management Engineering,Five-year degree,between 3 and 5,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
Hired,more than 45 years,Male,Surveyor,High school graduation,more than 10,Oil and Gas,Sending SC to customer,32-34 K,ITALY,Marche,Yes
In selection,late 20s,Male,Automation/Mechatronics Engineering,Doctorate,between 5 and 7,Consulting,BM interview,Not Given,ITALY,Campania,Yes
First contact,less than 20 years,Male,Biomedical Engineering,Five-year degree,between 5 and 7,Life sciences,Contact note,38-40 K,ITALY,Emilia Romagna,Yes
First contact,late 30s,Male,Informatics,Three-year degree,between 5 and 7,Consulting,Technical interview,Not Given,ITALY,Sicily,Yes
First contact,less than 20 years,Male,Mechanical engineering,Five-year degree,none,Others,Not Specified,Not Given,ITALY,Lombardy,Yes
In selection,late 20s,Male,Other scientific subjects,Five-year degree,between 3 and 5,Naval,HR interview,Not Given,ITALY,Emilia Romagna,Yes
In selection,late 30s,Male,electronic Engineering,Five-year degree,between 7 and 10,Machining - Heavy Industry,Contact note,+ 50 K,ITALY,Lombardy,Yes
First contact,early 30s,Female,Chemist - Pharmaceutical,Doctorate,none,Life sciences,Not Specified,Not Given,ITALY,Tuscany,Yes
First contact,less than 20 years,Male,Mechanical engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Mechanical engineering,Three-year degree,none,Others,Contact note,Not Given,ITALY,Lombardy,Yes
In selection,late 20s,Male,Biomedical Engineering,Five-year degree,none,Railway,BM interview,Not Given,ITALY,Campania,Yes
Economic proposal,early 30s,Female,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,between 5 and 7,Others,Commercial note,Not Given,ITALY,Tuscany,Yes
In selection,early 40s,Male,Other scientific subjects,High school graduation,more than 10,Automotive,Contact note,Not Given,ITALY,Lombardy,Yes
In selection,late 20s,Male,electronic Engineering,Five-year degree,between 1 and 3,Others,BM interview,Not Given,ITALY,Lombardy,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,none,Automotive,Contact note,Not Given,ITALY,Lazio,Yes
In selection,early 30s,Male,electronic Engineering,Five-year degree,between 3 and 5,Telecom,Contact note,Not Given,ITALY,Lombardy,Yes
In selection,late 20s,Male,Electrical Engineering,Three-year degree,none,Others,Contact note,Not Given,ITALY,Lazio,Yes
Hired,early 20s,Male,Information Engineering,Five-year degree,between 7 and 10,Services and Information Systems,Contact note,30-32 K,ITALY,Puglia,Yes
In selection,late 20s,Female,Biomedical Engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Veneto,Yes
First contact,late 20s,Male,Biomedical Engineering,Three-year degree,none,Others,Contact note,Not Given,ITALY,Sardinia,Yes
In selection,early 30s,Female,industrial engineering,Three-year degree,none,Consulting,Candidate notification,Not Given,ITALY,Tuscany,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,none,Aeronautics,HR interview,Not Given,ITALY,Campania,Yes
In selection,early 30s,Male,Other scientific subjects,High school graduation,more than 10,Automotive,Candidate notification,Not Given,ITALY,Piedmont,Yes
First contact,early 30s,Male,Mechanical engineering,Five-year degree,between 7 and 10,Automotive,Not Specified,Not Given,ITALY,Liguria,Yes
QM,early 20s,Male,Mechanical engineering,Five-year degree,none,Automotive,BM interview,Not Given,ITALY,Campania,Yes
First contact,less than 20 years,Male,Telecommunications Engineering,Five-year degree,between 5 and 7,Consulting,Contact note,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Female,Other humanities subjects,Five-year degree,none,Others,Contact note,Not Given,ITALY,Veneto,Yes
In selection,early 20s,Male,electronic Engineering,Three-year degree,between 0 and 1,Others,Sending SC to customer,Not Given,ITALY,Basilicata,Yes
Hired,less than 20 years,Male,Psychology,Five-year degree,between 3 and 5,Others,HR interview,Not Given,ITALY,Sicily,Yes
In selection,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,none,Others,Candidate notification,Not Given,ITALY,Piedmont,Yes
In selection,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 1 and 3,Aeronautics,BM interview,Not Given,ITALY,Tuscany,Yes
First contact,late 30s,Male,Mechanical engineering,Five-year degree,between 7 and 10,Automotive,Not Specified,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,electronic Engineering,Three-year degree,between 1 and 3,Services and Information Systems,Sending SC to customer,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 0 and 1,Others,BM interview,30-32 K,ITALY,Lombardy,Yes
Hired,less than 20 years,Male,Mechanical engineering,Five-year degree,none,Automotive,BM interview,Not Given,ITALY,Tuscany,Yes
First contact,early 30s,Male,Energy and Nuclear Engineering,Five-year degree,between 0 and 1,Energy,Not Specified,Not Given,ITALY,Calabria,Yes
Hired,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Aeronautics,BM interview,Not Given,ITALY,Campania,Yes
In selection,late 20s,Male,Management Engineering,Three-year degree,between 1 and 3,Automotive,BM interview,Not Given,ITALY,Campania,Yes
In selection,less than 20 years,Male,electronic Engineering,Five-year degree,none,Telecom,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,between 1 and 3,Aeronautics,BM interview,Not Given,ITALY,Lombardy,Yes
Hired,late 20s,Female,Mechanical engineering,Five-year degree,between 1 and 3,Automotive,HR interview,30-32 K,ITALY,Sicily,Yes
In selection,late 20s,Male,electronic Engineering,Five-year degree,none,Others,Research association,24-26 K,ITALY,Piedmont,Yes
In selection,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Aeronautics,Contact note,Not Given,ITALY,Emilia Romagna,Yes
First contact,more than 45 years,Female,Chemist - Pharmaceutical,Five-year degree,more than 10,Life sciences,Not Specified,Not Given,ITALY,Emilia Romagna,Yes
First contact,late 20s,Female,Biomedical Engineering,Five-year degree,none,Others,Candidate notification,Not Given,ITALY,Piedmont,Yes
In selection,less than 20 years,Male,Economic - Statistics,Five-year degree,more than 10,Others,Contact note,Not Given,ITALY,Emilia Romagna,Yes
First contact,early 20s,Female,Geo-Biological,Five-year degree,none,Others,Not Specified,Not Given,INDIA,Not Italian Region,No
Imported,late 20s,Female,Automation/Mechatronics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,EGYPT,Not Italian Region,No
Imported,early 30s,Female,Automation/Mechatronics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Male,Telecommunications Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Energy and Nuclear Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Female,chemical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Biomedical Engineering,Five-year degree,between 1 and 3,Life sciences,Candidate notification,Not Given,ITALY,Marche,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Materials Science and Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
